INFO:root:Find max matching for different graphs.
INFO:root:
INFO:root:        dwt_72.mtx: iter     0, Optimal    32, Current    29
INFO:root:        dwt_72.mtx: Optimal    32, Current Best    31
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:      bcspwr10.mtx: iter 12400, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 12500, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 12600, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 12700, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 12800, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 12900, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 13000, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 13100, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 13200, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 13300, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 13400, Optimal  2576, Current  2528
INFO:root:      bcspwr10.mtx: iter 13500, Optimal  2576, Current  2529
INFO:root:      bcspwr10.mtx: iter 13600, Optimal  2576, Current  2529
INFO:root:      bcspwr10.mtx: iter 13700, Optimal  2576, Current  2529
INFO:root:      bcspwr10.mtx: iter 13800, Optimal  2576, Current  2529
INFO:root:      bcspwr10.mtx: iter 13900, Optimal  2576, Current  2529
INFO:root:      bcspwr10.mtx: iter 14000, Optimal  2576, Current  2529
INFO:root:      bcspwr10.mtx: iter 14100, Optimal  2576, Current  2530
INFO:root:      bcspwr10.mtx: iter 14200, Optimal  2576, Current  2530
INFO:root:      bcspwr10.mtx: iter 14300, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 14400, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 14500, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 14600, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 14700, Optimal  2576, Current  2531
INFO:root:      bcspwr10.mtx: iter 14800, Optimal  2576, Current  2531
